,sotr_250,primeLive_250
50,401,345
500,2320,1297
1000,4491,2339

,sotr_500,primeLive_500
50,734,623
500,4621,2534
1000,8963,4691

,sotr_750,primeLive_750
50,1081,913
500,6930,3771
1000,13428,7095

,sotr_1000,primeLive_1000
50,1424,1179
500,9246,5010
1000,17993,9338

,sotr_2000,primeLive_2000

